Time (ka),Stack Benthic d18O (per mil),Standard error (per mil),depthODP849cm,d18Oforams-b,d13Cforams-b,depthODP846,d18Oforams-b,d13Cforams-b,depth,18MD00-2374vsPDB,13MD00-2374vsPDB,depth,18MD00-2374vsPDB-pl,13MD00-2374vsPDB-pl
0,2.588,0.031,7,3.66,0.21,12,3.38,0.14,100,3.235,0.515,0,2.789187575,0.12589697
1,2.588,0.037,17,3.49,0.08,23,3.46,0.01,104,3.49,0.7,4,2.791426175,-0.077340089
2,2.539,0.031,28,3.31,0.19,33,3.765,-0.08,108,3.535,0.615,8,2.77387045,0.199461235
3,2.646,0.027,45,4.17,-0.15,43,4.14,-0.17,112,3.605,0.75,12,2.7197982,0.455766615
4,2.655,0.033,55,4.69,-0.27,53,4.47,-0.21,116,3.655,0.775,16,2.6972427,0.46734904
5,2.624,0.032,69,4.92,-0.26,63,4.99,-0.41,120,3.79,0.645,20,2.884349,0.35284561
6,2.693,0.039,89,4.675,-0.12,73,4.99,-0.43,130,3.23,0.185,24,2.80337075,0.260629235
7,2.727,0.04,109,4.59,0.02,87,4.9,-0.41,140,3.99,0.79,28,2.8930161,0.218335435
8,2.78,0.033,118,4.55,0.05,100,4.56,-0.29,150,3.88,0.73,32,2.7748313,0.328785845
9,2.745,0.035,128,4.72,0.02,113,4.76,-0.32,160,3.95,0.66,36,2.94520165,0.212832392
10,2.883,0.037,139,4.36,0.1,123,4.74,-0.44,170,4.09,0.58,40,2.93462705,0.137315183
11,2.963,0.04,150,4.46,0.05,133,4.64,-0.38,180,3.82,0.48,44,2.918017,0.223179445
12,3.284,0.046,161,4.63,-0.02,145,4.49,-0.33,190,3.81,0.65,48,3.201684,0.142234777
13,3.415,0.038,185,4.47,0.07,159,4.56,-0.2,200,3.9,0.52,52,3.08854836,-0.013039364
14,3.641,0.032,194,4.45,-0.04,169,4.48,-0.16,210,4.08,0.44,56,3.101906117,-0.151152781
15,3.855,0.04,217,4.54,-0.21,179,4.44,-0.2,220,3.81,0.63,60,3.295618,0.000104857
16,4.111,0.033,231,4.57,-0.11,187,4.51,-0.18,230,4.05,0.63,64,3.329577817,-0.023475116
17,4.241,0.039,243,4.27,0.3,198,4.35,-0.19,240,3.9,0.56,68,3.5045067,0.178521955
18,4.384,0.027,249,4.14,0.13,207,4.37,-0.24,250,3.89,0.44,72,3.40224855,0.053853709
19,4.316,0.03,256,4.1,0.25,218,4.43,-0.23,260,4,0.55,76,3.573189675,-0.08837748
20,4.352,0.037,271,4.32,-0.03,228,4.33,-0.26,270,3.95,0.52,80,3.513448133,0.074108715
21,4.275,0.03,275,3.95,0.12,238,4.35,-0.21,280,3.84,0.61,84,3.9305081,0.017376264
22,4.243,0.027,280,3.83,0.22,247,4.34,-0.3,290,3.86,0.51,88,3.91373838,-0.212916418
23,4.219,0.03,289,4,0.21,259,4.46,-0.25,300,3.83,0.19,92,3.68363795,0.01354719
24,4.171,0.038,292,3.93,0.21,267,4.35,-0.38,310,3.79,0.46,96,4.143046,-0.411060637
25,4.179,0.023,296,3.71,0.2,278,4.5,-0.4,320,3.65,0.71,100,4.3472633,-0.66583072
26,4.033,0.038,306,3.845,0.045,287,4.33,-0.41,330,3.71,0.42,104,4.24284535,-0.565405595
27,4.109,0.035,315,4,0.17,296,4.36,-0.53,340,3.82,0.57,108,4.228667633,-0.71997468
28,4.113,0.031,324,3.95,0.09,309,4.35,-0.43,350,3.92,0.64,112,4.2604738,-0.63695196
29,4.091,0.033,333,3.82,-0.085,318,4.47,-0.47,360,3.81,0.62,116,4.329605567,-0.585735653
30,3.977,0.036,344,3.745,0.08,328,4.42,-0.53,370,3.71,-0.01,120,4.39030916,-0.781532878
31,3.984,0.033,355,3.78,0.05,339,4.5,-0.47,380,3.87,0.61,125,4.4314978,-0.86638198
32,3.959,0.026,366,3.3,0.23,348,4.48,-0.3,390,3.8,0.6533,130,4.4322922,-0.88519901
33,3.939,0.025,377,3.23,0.12,357,4.11,-0.12,400,3.9,0.7,135,4.4008578,-1.0564627
34,3.946,0.027,388,3.15,-0.02,367,4.33,-0.21,410,3.87,0.58,140,4.3648031,-0.50855154
35,3.899,0.024,398,3.27,-0.02,378,3.98,0.01,420,3.8,0.64,145,4.5840723,-0.67911074
36,3.814,0.028,408,4.13,-0.23,388,4.04,-0.08,430,3.66,0.43,150,4.5486357,-0.92430026
37,3.816,0.027,418,4.42,-0.3,399,3.9,-0.12,440,3.7,0.49,160,4.4995763,-0.76759196
38,3.774,0.027,428,4.85,-0.3,410,4.06,-0.09,450,3.8,0.65,170,4.4030192,-0.82326627
39,3.915,0.029,437,4.795,-0.32,420,4.09,-0.13,460,3.82,0.75,180,4.37500545,-0.516260225
40,3.908,0.031,447,4.98,-0.38,428,4.08,-0.18,470,3.88,0.77,190,4.5380474,-0.58264694
41,3.874,0.046,456,4.7,-0.45,437,4.01,-0.01,480,3.88,0.44,200,4.445104333,-0.757316093
42,3.864,0.034,467,4.74,-0.33,443,3.91,-0.385,490,3.97,0.61,210,4.4024765,-0.83949256
